"motusRecvID","recvProjectID","receiverID","recvDeployID","port","antennaType","bearing","magneticBearing","trueBearing","tilt","polBearing","polTilt","heightMeters","filter","cableLengthMeters","cableType","mountDistanceMeters","mountBearing","details","elevationAngle","polarization1","polarization2","deploymentStatus","dongle_type","frequency"
"2327","174","SG-4002BBBK2550","4452","1","yagi-9-laird","32.0","32.0","43.796867","","","","","","","","","","","","","","terminated","Funcube Pro","166.38"
"2327","174","SG-4002BBBK2550","4452","2","yagi-9-laird","118.0","118.0","129.79688","","","","","","","","","","","","","","terminated","Funcube Pro","166.38"
"2327","174","SG-4002BBBK2550","4452","3","yagi-9-laird","324.0","324.0","335.79688","","","","","","","","","","","","","","terminated","Funcube Pro","166.38"
"2327","174","SG-4002BBBK2550","4482","1","yagi-6","35.0","35.0","46.78832","","","","6.0","","","","","","","","","","terminated","Funcube Pro","166.38"
"2327","174","SG-4002BBBK2550","4482","2","yagi-9","320.0","320.0","331.78833","","","","6.0","","","","","","","","","","terminated","Funcube Pro","166.38"
"2327","174","SG-4002BBBK2550","4482","3","yagi-9","120.0","120.0","131.78831","","","","6.0","","","","","","","","","","terminated","Funcube Pro","166.38"
"2327","174","SG-4002BBBK2550","5185","1","yagi-6","35.0","35.0","46.78832","","","","6.0","","","","","","","","","","pending","Funcube Pro","166.38"
"2327","174","SG-4002BBBK2550","5185","2","yagi-9","320.0","320.0","331.78833","","","","6.0","","","","","","","","","","pending","Funcube Pro","166.38"
"2327","174","SG-4002BBBK2550","5185","3","yagi-9","120.0","120.0","131.78831","","","","6.0","","","","","","","","","","pending","Funcube Pro","166.38"
"2328","174","SG-1315BBBK0085","4453","1","yagi-9-laird","10.0","10.0","21.801096","","","","","","","","","","","","","","terminated","Funcube Pro","166.38"
"2328","174","SG-1315BBBK0085","4453","2","yagi-9-laird","120.0","120.0","131.8011","","","","","","","","","","","","","","terminated","Funcube Pro","166.38"
"2328","174","SG-1315BBBK0085","4453","3","yagi-9-laird","280.0","280.0","291.8011","","","","","","","","","","","","","","terminated","Funcube Pro","166.38"
"2328","174","SG-1315BBBK0085","5184","1","yagi-9-laird","150.0","150.0","161.70648","","","","","","","","","","","","","","active","Funcube Pro","166.38"
"2328","174","SG-1315BBBK0085","5184","2","yagi-9-laird","90.0","90.0","101.70648","","","","","","","","","","","","","","active","Funcube Pro","166.38"
"2328","174","SG-1315BBBK0085","5184","3","yagi-9-laird","285.0","285.0","296.70648","","","","","","","","","","","","","","active","Funcube Pro","166.38"
"2336","174","SG-0815BBBK0176","4479","1","yagi-9-laird","250.0","250.0","261.6761","","","","","","","","","","","","","","terminated","Funcube Pro","166.38"
"2336","174","SG-0815BBBK0176","4479","2","yagi-9-laird","55.0","55.0","66.67607","","","","","","","","","","","","","","terminated","Funcube Pro","166.38"
"2336","174","SG-0815BBBK0176","4479","3","yagi-9-laird","330.0","330.0","341.6761","","","","","","","","","","","","","","terminated","Funcube Pro","166.38"
"2336","174","SG-0815BBBK0176","5183","1","yagi-9-laird","10.0","10.0","21.591825","","","","4.5","","","","","","","","","","active","Funcube Pro","166.38"
"2336","174","SG-0815BBBK0176","5183","2","yagi-9-laird","260.0","260.0","271.59183","","","","4.25","","","","","","","","","","active","Funcube Pro","166.38"
"2336","174","SG-0815BBBK0176","5183","3","yagi-6","300.0","300.0","311.59183","","","","4.0","","","","","","","","","","active","Funcube Pro","166.38"
"2337","174","SG-1315BBBK0105","4481","1","yagi-9-laird","320.0","320.0","331.38446","","","","4.0","","","","","","","","","","terminated","Funcube Pro","166.38"
"2337","174","SG-1315BBBK0105","4481","2","yagi-9-laird","210.0","210.0","221.38445","","","","4.0","","","","","","","","","","terminated","Funcube Pro","166.38"
"2337","174","SG-1315BBBK0105","4481","3","yagi-9-laird","12.0","12.0","23.384445","","","","4.0","","","","","","","","","","terminated","Funcube Pro","166.38"
"2337","174","SG-1315BBBK0105","5182","1","yagi-9-laird","5.0","5.0","16.708616","","","","4.0","","","","","","","","","","active","Funcube Pro","166.38"
"2337","174","SG-1315BBBK0105","5182","2","yagi-9-laird","135.0","135.0","146.70862","","","","3.8","","","","","","","","","","active","Funcube Pro","166.38"
"2337","174","SG-1315BBBK0105","5182","3","yagi-6","100.0","100.0","111.70862","","","","3.6","","","","","","","","","","active","Funcube Pro","166.38"
"2497","174","SG-3214BBBK6871","4677","1","yagi-6","120.0","120.0","131.9031","","","","","","","","","","","","","","terminated","Funcube Pro","166.38"
"2497","174","SG-3214BBBK6871","5178","1","yagi-6","120.0","120.0","131.85419","","","","","","","","","","","","","","terminated","Funcube Pro","166.38"
"2497","174","SG-3214BBBK6871","5180","1","yagi-6","128.0","128.0","139.8259","","","","3.0","","","","","","","","","","active","Funcube Pro","166.38"
"2497","174","SG-3214BBBK6871","5180","2","yagi-9-maple","60.0","60.0","71.825905","","","","2.8","","","","","","","","","","active","Funcube Pro","166.38"
"3029","174","SG-D414RPI33D62","5208","1","yagi-9-maple","240.0","240.0","","","","","","","","","","","","","","","active","Funcube Pro","166.38"
"3029","174","SG-D414RPI33D62","5208","2","yagi-9-maple","60.0","60.0","","","","","","","","","","","","","","","active","Funcube Pro","166.38"
